nom,genre,canton,groupe_parlementaire,vote,parti,multiplicateur,
Weichelt Manuela,Femme,zg,G,11,Les Vert-e-s,1,
Wermuth Cédric,Homme,ag,S,20,Parti socialiste,1,
Wettstein Felix,Homme,so,G,65,Les Vert-e-s,1,
Widmer Céline,Femme,zh,S,20,Parti socialiste,1,
Wismer-Felder Priska,Femme,lu,M-E,72,Le Centre,1,
Wobmann Walter,Homme,so,V,30,UDC,1,
Wyss Sarah,Femme,bs,S,17,Parti socialiste,2.01,
Zuberbühler David,Homme,ar,V,64,UDC,1,
Gallati Jean-Pierre,Homme,ag,V,0,UDC,18.13,
Vitali Albert,Homme,lu,RL,6,Parti libéral-radical,10.40,
Jans Beat,Homme,bs,S,15,Parti socialiste,1.99,
Ruppen Franz,Homme,vs,V,136,UDC,1.64,
Reynard Mathias,Homme,vs,S,32,Parti socialiste,1.56,
Chevalley Isabelle,Femme,vd,GL,68,Vert libéraux,1.2,
Eymann Christoph,Homme,bs,RL,142,Parti libéral-radical,1.2,
